id,host_is_superhost,host_acceptance_rate,host_total_listings_count,host_has_profile_pic,accommodates,minimum_nights,maximum_nights,instant_bookable,availability_365,price,number_of_reviews,reviews_per_month,review_scores_rating,survived,bathrooms,host_tenure_days,has_wifi,has_kitchen,has_air_conditioning,has_heating,bedrooms,beds,is_entire_place,is_private_room,is_hotel_room
721700912336742484,0.0,1.0,69.0,1.0,6,2,365,0,350,385.0,16,3.08,5.0,0,2.0,2810.0,1,1,1,1,2.0,3.0,1,0,0
721703190476939338,0.0,0.99,3.0,1.0,5,4,365,1,10,400.0,0,0.0,4.93,1,2.0,3948.0,1,1,1,0,3.0,3.0,1,0,0
721720994186487008,1.0,1.0,19.0,1.0,6,1,365,0,96,234.0,12,2.14,4.92,0,2.5,312.0,1,1,1,1,3.0,3.0,1,0,0
721826049571799156,0.0,1.0,1.0,1.0,8,2,12,0,158,650.0,1,1.0,5.0,1,2.0,2594.0,1,1,1,0,4.0,5.0,1,0,0
721835352677085316,0.0,1.0,4.0,1.0,5,2,365,1,0,180.0,3,0.57,4.67,0,1.0,2947.0,1,0,1,0,2.0,2.0,1,0,0
721894195571182565,1.0,1.0,2.0,1.0,10,2,365,0,338,1024.0,10,1.81,5.0,0,3.5,1061.0,1,1,1,1,4.0,5.0,1,0,0
721901533817438638,0.0,1.0,2.0,1.0,4,30,365,0,361,335.0,0,0.0,4.93,1,2.5,4250.0,1,1,1,1,2.0,2.0,1,0,0
721922287863574292,0.0,0.87,3.0,1.0,6,2,365,0,115,279.0,1,1.0,5.0,1,2.0,3624.0,1,1,1,1,3.0,4.0,1,0,0
722095877019234089,0.0,0.99,90.0,1.0,6,2,180,0,324,177.0,2,0.38,4.0,0,1.0,2078.0,1,1,1,1,2.0,3.0,1,0,0
722096467394422464,0.0,0.99,90.0,1.0,4,2,180,0,364,180.0,1,0.75,5.0,0,1.0,2078.0,1,1,1,1,2.0,2.0,1,0,0
722097705814272091,0.0,0.99,90.0,1.0,6,2,180,0,334,190.0,2,0.38,4.5,0,1.0,2078.0,1,1,1,1,2.0,3.0,1,0,0
722097986401666701,0.0,0.99,90.0,1.0,4,2,180,0,364,180.0,3,0.63,4.33,0,1.0,2078.0,1,1,1,1,2.0,2.0,1,0,0
722206310951881931,0.0,0.97,5355.0,1.0,2,30,365,0,342,158.0,0,0.0,4.93,0,1.0,2296.0,1,1,1,1,1.0,1.0,1,0,0
722215081876379006,0.0,1.0,1.0,1.0,6,2,60,0,256,221.0,8,1.66,4.88,1,2.0,190.0,1,1,1,1,2.0,3.0,1,0,0
722264779850831691,1.0,0.96,7.0,1.0,3,1,15,0,338,64.0,7,1.24,4.86,1,1.0,1754.0,1,1,1,1,1.0,2.0,0,1,0
722295805958654195,0.0,0.99,14.0,1.0,4,1,365,0,318,217.0,31,6.0,4.87,0,1.0,1467.0,1,1,1,1,1.0,2.0,1,0,0
722296019917549077,0.0,0.99,29.0,1.0,4,1,365,0,323,130.0,16,2.81,4.69,1,1.0,2678.0,1,1,1,1,2.0,2.0,1,0,0
722296182707405602,0.0,0.99,14.0,1.0,6,1,365,0,282,264.0,27,4.85,4.89,0,2.0,1467.0,1,1,1,1,3.0,3.0,1,0,0
722296438689767137,0.0,0.99,14.0,1.0,10,1,365,0,269,375.0,1,0.24,5.0,0,2.0,1467.0,1,1,1,1,4.0,5.0,1,0,0
