id,host_is_superhost,host_response_time,host_response_rate,host_acceptance_rate,host_total_listings_count,host_has_profile_pic,property_type,room_type,accommodates,minimum_nights,maximum_nights,instant_bookable,availability_365,price,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,neighbourhood_cleansed,survived,bathrooms,host_tenure_days,has_wifi,has_kitchen,has_air_conditioning,has_free_parking,has_heating,has_bed_linens,has_tv
782610452929089001,0.0,within an hour,0.96,1.0,126.0,1.0,Entire condo,Entire home/apt,4,1,365,1,336,296.0,12,1.93,4.75,4.75,5.0,4.83,4.58,4.67,4.5,78701,1,1.0,289.0,1,1,1,0,0,1,1
782610588380683199,0.0,within an hour,0.96,1.0,126.0,1.0,Entire condo,Entire home/apt,4,1,365,1,342,165.0,29,2.74,4.93,4.97,5.0,4.83,4.62,4.86,4.9,78701,0,1.0,289.0,1,1,1,0,0,1,1
782610689161014298,0.0,within an hour,0.96,1.0,126.0,1.0,Entire condo,Entire home/apt,4,2,365,1,345,277.0,23,2.48,4.87,4.96,4.96,4.91,4.7,4.91,4.7,78701,1,1.0,289.0,1,1,1,0,0,1,1
782610700622592785,0.0,within an hour,0.96,1.0,126.0,1.0,Entire condo,Entire home/apt,4,1,365,1,282,269.0,14,1.38,4.86,4.93,4.93,4.79,4.79,4.93,4.64,78701,1,1.0,289.0,1,1,1,0,0,1,1
782610864937732013,0.0,within an hour,0.96,1.0,126.0,1.0,Entire condo,Entire home/apt,6,1,365,1,315,370.0,14,1.16,4.71,4.71,4.86,5.0,5.0,5.0,4.71,78701,1,2.0,289.0,1,1,1,0,0,1,1
782611326434664821,0.0,within an hour,0.96,1.0,126.0,1.0,Entire condo,Entire home/apt,6,1,365,1,281,363.0,30,2.88,4.9,4.93,4.93,4.73,4.8,4.97,4.73,78701,1,2.0,289.0,1,1,1,0,1,1,1
782611617867807666,0.0,within an hour,0.96,1.0,126.0,1.0,Entire condo,Entire home/apt,6,1,365,1,342,412.0,24,2.2,4.83,4.92,4.96,4.92,4.88,4.88,4.67,78701,0,2.0,289.0,1,1,1,0,0,1,1
782611630156162077,0.0,within an hour,0.96,1.0,126.0,1.0,Entire condo,Entire home/apt,6,1,365,1,321,387.0,19,2.04,4.68,4.79,4.74,4.74,4.58,4.74,4.68,78701,1,2.0,289.0,1,1,1,0,0,1,1
782611733611965601,0.0,within an hour,0.96,1.0,126.0,1.0,Entire condo,Entire home/apt,4,2,365,1,356,265.0,6,0.51,5.0,5.0,5.0,5.0,4.83,5.0,4.83,78701,1,1.0,289.0,1,1,1,0,0,1,1
782612057885000202,0.0,within an hour,0.96,1.0,126.0,1.0,Entire condo,Entire home/apt,6,1,365,1,364,438.0,12,1.06,5.0,5.0,4.92,4.83,4.83,4.83,4.75,78701,0,2.0,289.0,1,1,1,0,0,1,1
782612202115595371,0.0,within an hour,0.96,1.0,126.0,1.0,Entire condo,Entire home/apt,4,1,365,1,332,315.0,18,1.52,5.0,5.0,5.0,4.89,4.72,4.94,4.94,78701,1,1.0,289.0,1,1,1,0,0,1,1
782612311043701925,0.0,within an hour,0.96,1.0,126.0,1.0,Entire rental unit,Entire home/apt,2,1,365,1,353,219.0,12,1.08,4.58,4.83,4.75,4.58,4.58,4.92,4.42,78701,1,1.0,289.0,1,1,1,0,0,1,1
782612371949785143,0.0,within an hour,0.96,1.0,126.0,1.0,Entire condo,Entire home/apt,4,1,365,1,336,195.0,8,0.73,4.88,5.0,5.0,4.88,5.0,5.0,5.0,78701,1,1.0,289.0,1,1,1,0,0,1,1
782612807916001589,0.0,within an hour,0.96,1.0,126.0,1.0,Entire condo,Entire home/apt,4,1,365,1,364,358.0,1,0.15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,78701,1,1.0,289.0,1,1,1,0,0,1,1
782612897719196397,0.0,within an hour,0.96,1.0,126.0,1.0,Entire condo,Entire home/apt,6,1,365,1,317,429.0,34,2.9,4.91,4.94,4.94,4.94,4.79,4.94,4.88,78701,1,2.0,289.0,1,1,1,0,0,1,1
